CODUSU,NRO_HOGAR,NIVEL_ED,CH03,CH04,CH06,CH07,PP04A,CAT_OCUP,INTENSI,PP3E_TOT,CATEGORIA,CALIFICACION,P21
TQRMNOPRSHLOLNCDEHNHB00638024,1,Primaria completa,Jefe/a,Varon,45,soltero/a?,...estatal,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de servicios de limpieza no domésticos,Operativos,25000
TQRMNOQURHLOLNCDEHNHB00638017,1,Secundaria incompleta,Jefe/a,Mujer,63,viudo/a?,...privada,Cuenta propia,Ocupado pleno,28,Ocupaciones de la comercialización directa,Operativos,2500
TQRMNORQVHLOLOCDEHNHB00637951,1,Secundaria completa,Hijo/a Hijastro/a,Mujer,34,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,25,Ocupaciones del cuidado y la atención de personas,No calificados,7000
TQRMNOQQWHMMLOCDEHNHB00632216,1,Secundaria completa,Hijo/a Hijastro/a,Mujer,37,separado/a o divorsiado/a?,...privada,Obrero o empleado,Sobreocupado,48,Ocupaciones de la comercialización directa,Ns.Nc,20000
TQRMNOQQWHMMLOCDEHNHB00632216,1,Secundaria completa,Hijo/a Hijastro/a,Varon,30,soltero/a?,...privada,Cuenta propia,Ocupado pleno,20,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Técnicos,18000
TQRMNOQQWHMMLOCDEHNHB00632216,1,Secundaria completa,Hijo/a Hijastro/a,Varon,26,soltero/a?,...estatal,Obrero o empleado,Ocupado pleno,40,"Ocupaciones del almacenaje de insumos, materias primas, mercaderías e instrumentos",No calificados,15000
TQRMNOTUXHKOKSCDEHNHB00655195,1,Secundaria completa,Jefe/a,Varon,32,casado?,...privada,Obrero o empleado,Ocupado pleno,40,"Ocupaciones de la construcción edilicia, de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo",Operativos,48000
TQRMNOTUYHKOKSCDEHNHB00655254,1,Sin instruccion,Conyuge / Pareja,Mujer,41,casado?,...privada,Obrero o empleado,Sobreocupado,48,Ocupaciones de servicios de limpieza no domésticos,No calificados,28000
TQRMNOQVRHMOLNCDEHNHB00632088,1,Secundaria completa,Jefe/a,Varon,66,casado?,...estatal,Obrero o empleado,Ocupado que no trabajo en la semana,0,"Ocupaciones de la gestión administrativa, planificación y control de gestión",No calificados,32000
TQRMNOQVRHMOLNCDEHNHB00632088,1,Secundaria incompleta,Hijo/a Hijastro/a,Varon,29,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,30,Ocupaciones de servicios de limpieza no domésticos,No calificados,15000
TQRMNOQVRHMOLNCDEHNHB00632088,1,Secundaria incompleta,Hijo/a Hijastro/a,Varon,25,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,30,Ocupaciones de servicios de limpieza no domésticos,No calificados,15000
TQRMNOSYVHMOLNCDEHNHB00632192,1,Primaria completa,Yerno/Nuera,Varon,26,unido?,...privada,Obrero o empleado,Subocupado por insuficiencia horaria,18,Ocupaciones de la producción agrícola,Operativos,15000
TQRMNOSYWHMOLNCDEHNHB00632213,1,Secundaria incompleta,Jefe/a,Varon,53,casado?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,"Ocupaciones de la instalación y mantenimiento de maquinaria, equipos y sistemas de la producción de bienes",Operativos,18000
TQRMNOSYWHMOLNCDEHNHB00632213,1,Superior universitaria completa,Conyuge / Pareja,Mujer,50,casado?,...estatal,Obrero o empleado,Ocupado pleno,9,Ocupaciones de la educación,Técnicos,28000
TQRMNOPQSHKMKTCDEHNHB00659126,1,Primaria completa,Jefe/a,Varon,62,casado?,...privada,Cuenta propia,Sobreocupado,84,Ocupaciones de la producción industrial y artesanal,Operativos,8000
TQRMNOQYSHKMKTCDEHNHB00659129,1,Secundaria completa,Jefe/a,Varon,34,unido?,...privada,Obrero o empleado,Sobreocupado,54,Ocupaciones de la comercialización directa,Ns.Nc,40000
TQRMNOQYTHKMKTCDEHNHB00659130,1,Primaria completa,Jefe/a,Varon,73,casado?,...privada,Cuenta propia,Ocupado pleno,9,Ocupaciones del transporte,Operativos,8000
TQRMNOPVTHKOLQCDEHPJB00655298,1,Secundaria completa,Jefe/a,Varon,71,unido?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,"Ocupaciones del almacenaje de insumos, materias primas, mercaderías e instrumentos",Operativos,30000
TQRMNOQWUHMOKMCDEHPJB00632314,1,Superior universitaria completa,Conyuge / Pareja,Mujer,57,casado?,...estatal,Obrero o empleado,Ocupado pleno,36,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Operativos,37000
TQRMNOQWVHMOKMCDEHPJB00632347,1,Secundaria incompleta,Conyuge / Pareja,Mujer,49,casado?,...privada,Obrero o empleado,Subocupado por insuficiencia horaria,12,Ocupaciones de los servicios domésticos,No calificados,13000
TQRMNOTXPHMOKMCDEHPJB00632340,1,Superior universitaria incompleta,Jefe/a,Mujer,48,unido?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de servicios de limpieza no domésticos,No calificados,28000
TQRMNOTXPHMOKMCDEHPJB00632340,1,Secundaria incompleta,Hijo/a Hijastro/a,Varon,16,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,10,Ocupaciones de servicios de limpieza no domésticos,No calificados,5600
TQRMNOPYSHKMLNCDEHPJB00655313,1,Superior universitaria incompleta,Hijo/a Hijastro/a,Mujer,37,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,20,"Ocupaciones de la gestión presupuestaria, contable y financiera",Técnicos,17000
TQRMNOQQPHMOKPCDEHPJB00632365,1,Secundaria incompleta,Jefe/a,Varon,43,casado?,...privada,Obrero o empleado,Sobreocupado,60,Ocupaciones del transporte,Operativos,40000
TQRMNOQQUHMOKPCDEHPJB00632367,1,Primaria completa,Jefe/a,Varon,35,unido?,...privada,Cuenta propia,Ocupado pleno,42,Ocupaciones de la reparación de bienes de consumo,Operativos,10000
TQRMNOPRQHMMKQCDEHPJB00632416,1,Secundaria completa,Jefe/a,Varon,42,unido?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de servicios gastronómicos,No calificados,30000
TQRMNOPRQHMMKQCDEHPJB00632416,1,Superior universitaria incompleta,Conyuge / Pareja,Mujer,39,unido?,...estatal,Obrero o empleado,Ocupado que no trabajo en la semana,0,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Operativos,32000
TQRMNOQYXHMMKQCDEHPJB00632417,1,Superior universitaria incompleta,Jefe/a,Varon,56,separado/a o divorsiado/a?,...estatal,Obrero o empleado,Ocupado pleno,25,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Operativos,35000
TQRMNOQSQHMOLMCDEHLEH00631877,1,Secundaria completa,Hijo/a Hijastro/a,Varon,50,separado/a o divorsiado/a?,...estatal,Obrero o empleado,Ocupado que no trabajo en la semana,0,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Operativos,28000
TQRMNOSTPHMOLMCDEHLEH00631755,1,Superior universitaria completa,Hijo/a Hijastro/a,Mujer,33,soltero/a?,...estatal,Obrero o empleado,Sobreocupado,54,Ocupaciones de la salud y sanidad,Técnicos,30000
TQRMNOSTPHMOLMCDEHLEH00631755,1,Superior universitaria incompleta,Nietro/a,Varon,26,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,40,Ocupaciones de la comercialización directa,No calificados,12000
TQRMNORWTHJOLOCDEHLEH00658763,1,Secundaria completa,Conyuge / Pareja,Varon,33,unido?,...estatal,Obrero o empleado,Ocupado pleno,40,"Ocupaciones de la construcción edilicia, de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo",Operativos,32000
TQRMNORTXHJKKMCDEHLEH00658801,1,Superior universitaria completa,Jefe/a,Varon,38,casado?,...estatal,Obrero o empleado,Ocupado pleno,6,Ocupaciones de la educación,Técnicos,13000
TQRMNORTXHJKKMCDEHLEH00658801,1,Superior universitaria completa,Conyuge / Pareja,Mujer,37,casado?,...estatal,Obrero o empleado,Ocupado pleno,6,Ocupaciones de la educación,Técnicos,12500
TQRMNORUPHJKKMCDEHLEH00658802,1,Superior universitaria completa,Jefe/a,Mujer,51,viudo/a?,...estatal,Obrero o empleado,Ocupado pleno,30,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Operativos,19000
TQRMNORUPHJKKMCDEHLEH00658802,1,Superior universitaria incompleta,Hijo/a Hijastro/a,Mujer,22,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,36,Ocupaciones de la comercialización directa,No calificados,12000
TQRMNOSSVHJMLMCDEHLEH00658804,1,Primaria incompleta (incluye educacion especial),Jefe/a,Varon,59,casado?,...privada,Cuenta propia,Ocupado pleno,30,"Ocupaciones de la construcción edilicia, de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo",Operativos,30000
TQRMNOSSVHJMLMCDEHLEH00658804,1,Secundaria completa,Hijo/a Hijastro/a,Varon,25,soltero/a?,...privada,Obrero o empleado,Subocupado por insuficiencia horaria,18,Ocupaciones de servicios gastronómicos,Operativos,12000
TQRMNOSTWHLKKRCDEHLEH00637691,1,Superior universitaria completa,Jefe/a,Varon,33,unido?,...privada,Patron,Ocupado pleno,9,Directivos de pequeñas y microempresas,Profesionales,40000
TQRMNOSTWHLKKRCDEHLEH00637691,1,Superior universitaria completa,Conyuge / Pareja,Mujer,33,unido?,...estatal,Obrero o empleado,Ocupado pleno,30,Ocupaciones de la salud y sanidad,Técnicos,30000
TQRMNOTTQHKOKUCDEHLEH00658835,1,Secundaria completa,Jefe/a,Mujer,44,separado/a o divorsiado/a?,...privada,Obrero o empleado,Ocupado pleno,20,Ocupaciones de los servicios domésticos,No calificados,8000
TQRMNOTTQHKOKUCDEHLEH00658835,1,Secundaria completa,Hijo/a Hijastro/a,Mujer,22,unido?,...privada,Obrero o empleado,Ocupado pleno,36,Ocupaciones de servicios gastronómicos,Operativos,15000
TQRMNOTTQHKOKUCDEHLEH00658835,1,Secundaria incompleta,Yerno/Nuera,Varon,22,unido?,...privada,Obrero o empleado,Ocupado pleno,30,"Ocupaciones de la construcción edilicia, de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo",No calificados,12000
TQRMNOUVQHLLKUCDEHLEH00637727,1,Superior universitaria completa,Hijo/a Hijastro/a,Mujer,36,unido?,...estatal,Obrero o empleado,Ocupado pleno,30,Ocupaciones de la salud y sanidad,Profesionales,42000
TQRMNOTVUHKMLLCDEHLEH00654983,1,Superior universitaria completa,Jefe/a,Mujer,53,casado?,...estatal,Obrero o empleado,Ocupado pleno,36,"Directivos de organismos, empresas e instituciones estatales",Profesionales,29000
TQRMNORSSHMOLMCDEHMHF00632014,1,Primaria completa,Conyuge / Pareja,Varon,41,unido?,...privada,Cuenta propia,Subocupado por insuficiencia horaria,9,Ocupaciones del transporte,Operativos,10000
TQRMNOQTPHKMLQCDEHMHF00654995,1,Superior universitaria completa,Jefe/a,Mujer,40,unido?,...estatal,Obrero o empleado,Sobreocupado,48,Ocupaciones de la salud y sanidad,Profesionales,-9
TQRMNORWRHKMLQCDEHMHF00655063,1,Superior universitaria completa,Jefe/a,Varon,57,casado?,...estatal,Obrero o empleado,Ocupado pleno,45,Ocupaciones de la educación,Técnicos,30000
TQRMNORWRHKMLQCDEHMHF00655063,1,Superior universitaria completa,Conyuge / Pareja,Mujer,54,casado?,...estatal,Obrero o empleado,Ocupado pleno,45,Ocupaciones de la educación,Técnicos,30000
TQRMNORWRHKMLQCDEHMHF00655063,1,Secundaria completa,Hijo/a Hijastro/a,Varon,27,soltero/a?,...privada,Obrero o empleado,Sobreocupado,48,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Operativos,20000
TQRMNOQPRHJLLPCDEHMHF00658872,1,Superior universitaria incompleta,Jefe/a,Mujer,62,viudo/a?,...estatal,Obrero o empleado,Ocupado pleno,30,Ocupaciones de la gestión jurídico-legal,Profesionales,70000
TQRMNOQPRHJLLPCDEHMHF00658872,1,Secundaria completa,Hijo/a Hijastro/a,Mujer,32,soltero/a?,...privada,Obrero o empleado,Sobreocupado,60,Ocupaciones de servicios policiales,Técnicos,65000
TQRMNOQPRHJLLPCDEHMHF00658872,1,Secundaria completa,Hijo/a Hijastro/a,Varon,29,soltero/a?,...privada,Obrero o empleado,Subocupado por insuficiencia horaria,12,Ocupaciones de la reparación de bienes de consumo,No calificados,10000
TQRMNORPYHLLKSCDEHMHF00637853,1,Superior universitaria completa,Jefe/a,Mujer,59,unido?,...estatal,Obrero o empleado,Ocupado pleno,25,Ocupaciones de la educación,Técnicos,-9
TQRMNORPYHLLKSCDEHMHF00637853,1,Secundaria completa,Hijo/a Hijastro/a,Varon,36,unido?,...privada,Obrero o empleado,Ocupado pleno,40,Ocupaciones de la producción industrial y artesanal,Operativos,40000
TQRMNORQQHLLKSCDEHMHF00637798,1,Secundaria completa,Jefe/a,Varon,55,casado?,...estatal,Obrero o empleado,Ocupado pleno,40,Ocupaciones de las telecomunicaciones,Técnicos,70000
TQRMNORQQHLLKSCDEHMHF00637798,1,Superior universitaria completa,Hijo/a Hijastro/a,Varon,31,unido?,...estatal,Obrero o empleado,Subocupado por insuficiencia horaria,15,Ocupaciones de la educación,Operativos,30000
TQRMNORQQHLLKSCDEHMHF00637798,1,Superior universitaria incompleta,Hijo/a Hijastro/a,Mujer,26,soltero/a?,...privada,Obrero o empleado,Subocupado por insuficiencia horaria,28,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Operativos,13000
TQRMNORQQHLLKSCDEHMHF00637798,1,Superior universitaria completa,Yerno/Nuera,Mujer,27,unido?,...estatal,Obrero o empleado,Ocupado pleno,25,Ocupaciones de la educación,Técnicos,28000
TQRMNORSWHMKKPCDEHMHF00631924,1,Secundaria completa,Nietro/a,Mujer,24,soltero/a?,...estatal,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de servicios de limpieza no domésticos,No calificados,12900
TQRMNOPWXHKNKOCDEHMHF00655052,1,Secundaria incompleta,Yerno/Nuera,Mujer,21,unido?,...estatal,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de la producción forestal,Operativos,12500
TQRMNOPYSHKNKPCDEHMHF00658930,1,Secundaria completa,Jefe/a,Varon,43,casado?,...privada,Obrero o empleado,Sobreocupado,48,Ocupaciones de la comercialización directa,Operativos,45000
TQRMNOPYTHKNKPCDEHMHF00658931,1,Primaria completa,Hijo/a Hijastro/a,Varon,39,soltero/a?,...privada,Obrero o empleado,Sobreocupado,52,Ocupaciones de la comercialización indirecta,Operativos,24000
TQRMNOPVUHKLKUCDEHMHF00658932,1,Superior universitaria completa,Jefe/a,Mujer,29,soltero/a?,...estatal,Obrero o empleado,Ocupado pleno,23,Ocupaciones de la educación,Técnicos,49000
TQRMNOQQVHJMKSCDEHMHF00658934,1,Primaria completa,Jefe/a,Varon,73,casado?,...privada,Patron,Sobreocupado,48,Directivos de pequeñas y microempresas,Técnicos,12500
TQRMNOPYQHKNKPCDEHMHF00658961,1,Secundaria incompleta,Hijo/a Hijastro/a,Varon,45,separado/a o divorsiado/a?,...privada,Cuenta propia,Ocupado pleno,44,Ocupaciones de la reparación de bienes de consumo,Operativos,25000
TQRMNOPYQHKNKPCDEHMHF00658961,1,Secundaria incompleta,Nietro/a,Varon,24,soltero/a?,...estatal,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de los servicios sociales varios,Operativos,12900
TQRMNOPVQHJNKPCDEHMHF00658962,1,Secundaria completa,Yerno/Nuera,Varon,36,casado?,...privada,Patron,Sobreocupado,84,Directivos de medianas empresas privadas productoras de bienes y servicios,Profesionales,30000
TQRMNOQPXHMLKRCDEHMHF00631964,1,Superior universitaria incompleta,Hijo/a Hijastro/a,Varon,27,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,40,Ocupaciones de la producción industrial y artesanal,Operativos,-9
TQRMNOQSTHKLKSCDEHMHF00655000,1,Secundaria incompleta,Jefe/a,Mujer,48,separado/a o divorsiado/a?,...estatal,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de servicios policiales,Operativos,60000
